time,packet_loss,latency,bandwidth
160062036,0,22,0.463
160062037,0,21,0.479
160062038,0,22,0.688
160062039,0,22,0.604
160062040,0,29,0.684
160062041,0,22,0.954
160062042,0,21,0.655
160062043,0,21,0.649
160062044,0,22,0.918
160062045,0,22,0.663
160062046,0,22,0.65
160062048,0,22,0.503
160062049,0,22,0.44
160062050,0,21,0.778
160062051,0,22,0.583
160062052,0,20,0.58
160062053,0,21,0.599
160062054,0,22,0.434
160062055,0,22,0.651
160062056,0,22,0.564
160062057,0,22,0.556
160062058,0,23,0.754
160062060,0,22,0.578
160062061,0,23,0.869
160062062,0,22,0.465
160062063,0,23,0.614
160062064,0,22,0.783
160062066,0,21,0.56
160062067,0,21,0.681
160062068,0,22,0.47
160062069,0,23,0.591
160062070,0,21,0.818
160062072,0,23,0.555
160062073,0,22,0.854
160062074,0,20,0.649
160062075,0,22,0.62
160062076,0,23,0.811
160062079,0,22,0.642
160062080,0,22,0.8
160062081,0,22,0.694
160062082,0,22,0.636
160062083,0,24,0.888
160062085,0,21,0.745
160062086,0,20,0.802
160062087,0,21,0.688
160062088,0,21,0.631
160062089,0,23,0.952
160062091,0,20,0.615
160062092,0,22,0.803
160062093,0,21,0.566
160062094,0,21,0.652
160062095,0,21,0.901
160062097,0,22,0.646
160062098,0,21,0.807
160062099,0,21,0.599
160062100,0,22,0.598
160062101,0,23,0.857
160062103,0,22,0.642
160062104,0,22,0.809
160062105,0,21,0.631
160062106,0,22,0.604
160062107,0,21,0.758
160062109,0,21,0.599
160062110,0,22,0.707
160062111,0,23,0.525
160062112,0,23,0.715
160062113,0,22,0.975
160062115,0,22,0.627
160062116,0,21,0.722
160062117,0,21,0.639
160062118,0,20,0.54
160062119,0,22,0.662
160062120,0,22,0.551
160062121,0,22,0.728
160062122,0,23,0.485
160062123,0,21,0.584
160062124,0,21,0.605
160062125,0,22,0.538
160062127,0,21,0.821
160062128,0,20,0.481
160062129,0,21,0.441
160062130,0,20,0.783
160062131,0,22,0.481
160062133,0,21,0.766
160062134,0,21,0.635
160062135,0,22,0.389
160062136,0,21,0.698
160062137,0,21,0.47
160062139,0,21,0.745
160062140,0,21,0.712
160062141,0,21,0.578
160062142,0,23,0.76
160062143,0,21,0.498
160062146,0,22,0.656
160062147,0,23,0.532
160062148,0,21,0.623
160062149,0,23,0.739
160062150,0,22,0.504
160062152,0,21,0.762
160062153,0,22,0.652
160062154,0,21,0.607
160062155,0,22,0.749
160062156,0,21,0.559
