time,packet_loss,latency,bandwidth
160062036,0,119,0.059
160062037,0,119,0.074
160062038,0,119,0.1
160062039,0,118,0.065
160062040,0,123,0.071
160062041,0,118,0.083
160062042,0,119,0.09
160062043,0,119,0.067
160062044,0,118,0.068
160062045,0,120,0.043
160062046,0,119,0.076
160062048,0,118,0.071
160062049,0,119,0.064
160062050,0,119,0.094
160062051,0,119,0.052
160062052,0,118,0.051
160062053,0,119,0.09
160062054,0,118,0.048
160062055,0,119,0.054
160062056,0,118,0.045
160062057,0,118,0.068
160062058,0,119,0.067
160062060,0,119,0.052
160062061,0,118,0.056
160062062,0,120,0.046
160062063,0,118,0.04
160062064,0,120,0.066
160062066,0,119,0.042
160062067,0,119,0.075
160062068,0,117,0.048
160062069,0,119,0.123
160062070,0,119,0.052
160062072,0,119,0.047
160062073,0,120,0.063
160062074,0,120,0.043
160062075,0,118,0.036
160062076,0,120,0.067
160062079,0,119,0.047
160062080,0,119,0.083
160062081,0,118,0.058
160062082,0,119,0.043
160062083,0,119,0.061
160062085,0,118,0.066
160062086,0,118,0.075
160062087,0,118,0.058
160062088,0,117,0.041
160062089,0,119,0.117
160062091,0,118,0.044
160062092,0,119,0.082
160062093,0,118,0.048
160062094,0,118,0.057
160062095,0,120,0.063
160062097,0,118,0.046
160062098,0,119,0.111
160062099,0,118,0.049
160062100,0,120,0.057
160062101,0,119,0.072
160062103,0,119,0.054
160062104,0,118,0.066
160062105,0,120,0.051
160062106,0,120,0.046
160062107,0,119,0.067
160062109,0,119,0.047
160062110,0,118,0.046
160062111,0,119,0.049
160062112,0,119,0.048
160062113,0,118,0.118
160062115,0,119,0.042
160062116,0,118,0.106
160062117,0,120,0.05
160062118,0,118,0.038
160062119,0,119,0.047
160062120,0,119,0.045
160062121,0,118,0.059
160062122,0,120,0.055
160062123,0,121,0.056
160062124,0,119,0.094
160062125,0,119,0.043
160062127,0,119,0.076
160062128,0,118,0.041
160062129,0,119,0.044
160062130,0,119,0.06
160062131,0,119,0.041
160062133,0,120,0.058
160062134,0,119,0.055
160062135,0,118,0.042
160062136,0,119,0.068
160062137,0,120,0.051
160062139,0,120,0.065
160062140,0,118,0.131
160062141,0,119,0.04
160062142,0,119,0.063
160062143,0,119,0.043
160062146,0,119,0.062
160062147,0,118,0.043
160062148,0,120,0.039
160062149,0,119,0.166
160062150,0,119,0.053
160062152,0,119,0.066
160062153,0,118,0.042
160062154,0,118,0.04
160062155,0,120,0.053
160062156,0,119,0.048
