time,packet_loss,latency,bandwidth
160062381,0,84,0
160062382,0,63,0
160062383,0,74,0
160062384,0,62,0
160062385,0,66,0
160062386,0,0,0
160062387,0,0,0
160062389,0,103,0.001
160062390,0,0,0
160062391,500,58,0
160062393,0,81,0.002
160062394,0,123,0.011
160062395,0,119,0.005
160062398,0,129,0.001
160062399,0,0,0.001
160062400,0,118,0.001
160062402,0,57,0.001
160062403,0,130,0.002
160062404,0,86,0
160062405,0,121,0.001
160062406,0,116,0
160062407,0,115,0.001
160062408,0,125,0.002
160062410,0,112,0
160062411,0,123,0.001
160062412,0,111,0.001
160062415,0,122,0
160062416,0,123,0.001
160062417,0,113,0
160062419,0,112,0
160062420,0,0,0
160062421,0,83,0.001
160062422,0,0,0
160062423,0,120,0
160062424,0,0,0
160062425,0,0,0
160062427,0,120,0
160062428,0,124,0.001
160062429,0,119,0
160062432,0,121,0.002
160062433,0,110,0
160062434,0,109,0.002
160062436,0,108,0.001
160062437,0,116,0
160062438,0,119,0
160062439,0,0,0.001
160062440,0,79,0
160062441,0,127,0
160062442,0,109,0.001
160062444,0,108,0
160062445,0,117,0.002
160062446,0,119,0
160062449,0,108,0
160062450,0,111,0.001
160062451,0,108,0.001
160062453,0,108,0
160062454,0,109,0.002
160062455,0,108,0
160062457,0,69,0.003
160062458,0,117,0.003
160062459,0,0,0.002
160062460,0,97,0.001
160062461,0,107,0
160062462,0,111,0.001
160062463,0,110,0
160062465,0,110,0.001
160062466,0,0,0.007
160062467,0,84,0
160062470,0,110,0.006
160062471,0,51,0
160062472,0,0,0.001
160062474,0,69,0
160062475,0,67,0.001
160062476,0,87,0.001
160062477,0,78,0
160062478,0,74,0
160062479,0,68,0
160062480,0,82,0.001
160062482,0,69,0.002
160062483,0,67,0
160062484,0,56,0.001
160062487,0,78,0.001
160062488,0,89,0
160062489,0,67,0.001
160062491,0,120,0.001
160062492,0,0,0
160062493,0,65,0
160062494,0,65,0
160062495,0,0,0.001
160062496,0,64,0
160062497,0,82,0.003
160062499,0,0,0.008
160062500,0,63,0.002
160062501,0,66,0.002
