time,packet_loss,latency,bandwidth
160062096,0,4,0.763
160062097,0,4,1.002
160062098,0,3,0.605
160062100,0,4,0.697
160062101,0,4,0.736
160062102,0,4,0.89
160062104,0,3,0.639
160062105,0,3,0.837
160062106,0,4,0.67
160062108,0,4,0.74
160062109,0,4,0.914
160062110,0,4,0.578
160062112,0,5,0.788
160062113,0,3,0.706
160062114,0,3,0.531
160062116,0,6,0.815
160062117,0,4,0.527
160062118,0,4,0.645
160062119,0,4,0.409
160062120,0,5,0.751
160062121,0,5,0.772
160062122,0,4,0.549
160062124,0,5,0.347
160062125,0,4,0.477
160062126,0,4,0.705
160062128,0,4,0.35
160062129,0,4,0.558
160062130,0,4,0.472
160062132,0,3,0.685
160062133,0,4,0.562
160062134,0,3,0.612
160062136,0,5,0.399
160062137,0,3,0.73
160062138,0,5,0.541
160062140,0,4,0.71
160062141,0,5,0.938
160062142,0,4,0.653
160062144,0,4,1.076
160062145,0,5,0.543
160062146,0,4,0.653
160062148,0,4,0.605
160062149,0,4,0.738
160062150,0,4,0.911
160062152,0,4,0.886
160062153,0,3,0.899
160062154,0,5,1.09
160062156,0,4,0.775
160062157,0,4,0.689
160062158,0,4,0.655
160062160,0,5,0.38
160062161,0,4,0.502
160062162,0,5,1.042
160062165,0,3,0.421
160062166,0,4,0.588
160062167,0,4,0.59
160062169,0,4,0.705
160062170,0,3,0.608
160062171,0,3,0.604
160062173,0,5,0.637
160062174,0,4,0.336
160062175,0,5,0.646
160062177,0,3,0.567
160062178,0,3,1.384
160062179,0,4,1.039
160062181,0,4,0.744
160062182,0,4,1.071
160062183,0,3,0.683
160062185,0,4,0.892
160062186,0,5,0.417
160062187,0,4,0.87
160062189,0,4,0.424
160062190,0,3,1.09
160062191,0,3,0.789
160062192,0,3,0.887
160062193,0,4,0.619
160062194,0,3,0.602
160062195,0,4,0.682
160062197,0,4,1.007
160062198,0,4,1.092
160062199,0,3,0.728
160062201,0,4,1.047
160062202,0,4,0.872
160062203,0,4,0.798
160062205,0,4,0.782
160062206,0,3,0.801
160062207,0,4,0.729
160062209,0,4,0.657
160062210,0,4,1.096
160062211,0,4,0.595
160062214,0,4,0.672
160062215,0,4,0.453
160062216,0,4,0.671
